region,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,is_price_outlier,price_bin,distance_to_region_center,region_encoded,host_experience_level,price_per_review
Santa Clara County,809751291998957249,Modern 1 Bed / 1 Bath condo; garage and pool,497325862,Oriana,San Jose,37.28724,-121.84278,Entire home/apt,117.0,31,2,2025-02-03,0.19,1,364,2,,False,Mid,6.846188178802845,2,Newbie,39.0
Santa Clara County,809762814455305599,Stunning Oasis @ Stanford/High Techs - Bikes,57442768,Anne,Palo Alto,37.41131,-122.13508,Private room,86.0,14,5,2025-02-06,0.27,5,304,3,,False,Low,23.48162687051406,2,Experienced,14.333333333333334
Santa Clara County,810142906169932546,Palo Alto/Stanford Entire Home 4B 2.5b,497416415,Sheila,Palo Alto,37.42403,-122.11223,Entire home/apt,418.0,2,9,2023-07-20,0.36,1,218,0,,False,High,22.161333080966134,2,Newbie,41.8
Santa Clara County,810201218137856581,Downtown Loft - Office/View/Parking/Balcony/Gym/AC,55555271,Fan,San Jose,37.34297832170672,-121.8955633335202,Entire home/apt,229.0,30,25,2024-03-22,0.96,1,39,1,,False,High,0.9772591539757073,2,Newbie,8.807692307692308
Santa Clara County,810478537565392028,*Entire 4BR/3.5BA Townhouse-Self Check-In/Parking*,91606628,Lucy Jim,San Jose,37.39028834433381,-121.89042983262156,Entire home/apt,295.0,1,1,2024-09-01,0.15,12,153,1,,False,High,5.792562228684896,2,Superhost,147.5
Santa Clara County,811150447225397279,Farmhouse: private Palo Alto guest suite,346927,Jason,Palo Alto,37.4378334784957,-122.15513201694247,Entire home/apt,117.0,3,62,2025-02-27,2.45,3,80,21,,False,Mid,26.24975966993989,2,Intermediate,1.8571428571428572
Santa Clara County,811201017857982197,Charming Home / Hot Tub / Walk Downtown,457039544,Paige,San Jose,37.31964,-121.88755,Entire home/apt,185.0,3,4,2025-01-20,0.21,1,51,3,,False,Mid,2.0628365755721214,2,Newbie,37.0
Santa Clara County,811571572576095142,Lovely room in Beautiful House,497672192,Tina,San Jose,37.326176572428686,-121.80314961605526,Private room,54.0,4,7,2024-08-18,0.35,2,173,4,,False,Low,7.488876802267636,2,Intermediate,6.75
Santa Clara County,811639507144660172,Beautiful Room in Luxury House,497672192,Tina,San Jose,37.32630818655827,-121.80401336736698,Private room,59.0,2,4,2024-05-26,0.16,2,267,1,,False,Low,7.410944643552099,2,Intermediate,11.8
Santa Clara County,812414843730190949,Bright 1 Bed Private Suite near Stanford/ Midtown,503715515,Angela,Palo Alto,37.42285066190463,-122.13165868811436,Entire home/apt,149.0,1,13,2025-03-03,0.53,4,290,5,,False,Mid,23.67441047708201,2,Experienced,10.642857142857142
Santa Clara County,812631511695292655,A GEM！Entire House 2700 SQFT Westfield & Apple,4924943,Diana,San Jose,37.321670728465605,-121.95580917209374,Entire home/apt,395.0,3,40,2025-03-16,1.63,6,278,23,,False,High,6.427637055719773,2,Experienced,9.634146341463415
Santa Clara County,813135091418303768,480A Modern New 2B2B Westfield Valley Fair,4924943,Diana,San Jose,37.31944,-121.95656,Entire home/apt,258.0,3,8,2023-08-15,0.33,6,278,0,,False,High,6.565787849474981,2,Experienced,28.666666666666668
Santa Clara County,813138878595217320,480B Modern 2B1B Full Kitchen Santana Row,4924943,Diana,San Jose,37.31863885313671,-121.95505637651628,Entire home/apt,183.0,3,7,2025-02-18,0.29,6,281,1,,False,Mid,6.4688684008048405,2,Experienced,22.875
Santa Clara County,813290617713070760,Charming Single Wide in MoHi,498159486,Ruth,Morgan Hill,37.15857418536587,-121.67174,Private room,76.0,1,24,2024-11-10,0.99,1,362,10,,False,Low,27.564207880481806,2,Newbie,3.04
Santa Clara County,813958990563361647,3Ms luxury home w/private garden,210787312,Michalis + Marina,Santa Clara,37.32983,-121.96252,Entire home/apt,296.0,2,16,2025-02-14,1.8,3,220,16,,False,High,6.818254184774337,2,Intermediate,17.41176470588235
Santa Clara County,814467818145131106,Private room in San Jose,213645060,Ruan,San Jose,37.28117,-121.82206,Private room,47.0,1,7,2024-08-15,0.28,2,30,1,,False,Low,8.514239978474778,2,Intermediate,5.875
